country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
Afghanistan,AFG,15.0,0.15012156470543525,0.05074060470557429,0.058125738010610384,low,no
Albania,ALB,29.0,0.11925811089744776,0.04588468286586611,0.04490532502866795,middle,no
Algeria,DZA,59.0,0.15742324487626824,0.10018351051234053,0.03555595736740669,middle,no
Angola,AGO,28.0,0.7137430489267098,0.6666181708540835,0.04902610805287799,middle,no
Antigua and Barbuda,ATG,46.0,0.085994022561529,0.039780321487821624,0.03221511461656945,high,no
Argentina,ARG,63.0,0.7439312091940586,0.694377488191634,0.022477506481790144,middle,no
Armenia,ARM,31.0,0.38578815944519174,0.33475824400629794,0.05323723383241474,middle,no
Aruba,ABW,37.0,0.08285513500291675,0.027204863074864027,0.033940681563287,high,no
Australia,AUS,63.0,0.10245765143962648,0.04782732325327732,0.03358810780210475,high,yes
Azerbaijan,AZE,31.0,0.3976677516693321,0.3470861551869979,0.04404869292671809,middle,no
"Bahamas, The",BHS,54.0,0.07559943889150422,0.04401566569081328,0.016985546443115895,high,no
Bahrain,BHR,36.0,0.08589252632766797,0.026600972610219653,0.04056714442182763,high,no
Bangladesh,BGD,49.0,0.1656972581075613,0.0796002409240637,0.04932960854853863,middle,no
Barbados,BRB,36.0,0.10871166451716663,0.062017157074700346,0.015244732169193087,high,no
Belarus,BLR,28.0,0.5179353333137187,0.4741248884927982,0.03885662504864151,middle,no
Belize,BLZ,47.0,0.09204391125003508,0.02756119254443634,0.04477699306687355,middle,no
Benin,BEN,61.0,0.11312098245941349,0.04971762185381956,0.039455678040019926,middle,no
Bhutan,BTN,39.0,0.1806479094352771,0.06745737586551814,0.06468265671127948,middle,no
Bolivia,BOL,62.0,0.39494386223808875,0.2975886219408035,0.03429794198876768,middle,no
Bosnia and Herzegovina,BIH,26.0,0.1320923278578019,0.03954451953025373,0.04068922064053071,middle,no
Botswana,BWA,47.0,0.16596293313598953,0.08964234623297473,0.06063710252386367,middle,no
Brazil,BRA,63.0,0.8537549338373072,0.7409659960182595,0.03798548297388438,middle,no
Brunei Darussalam,BRN,24.0,0.0438541303235378,0.040716611454939766,0.007154650075714697,high,no
Bulgaria,BGR,32.0,0.26347014911023203,0.2357849800688261,0.01813792432994288,middle,no
Burkina Faso,BFA,61.0,0.12267398320349177,0.03875654239096793,0.04353146442276845,low,no
Burundi,BDI,59.0,0.15031223510962266,0.09027863245553047,0.024474768864737317,low,no
Cabo Verde,CPV,43.0,0.11423416490287863,0.031848241380503683,0.05880145470429188,middle,no
Cambodia,KHM,30.0,0.2403100225970738,0.049940581648637794,0.05177522041688132,middle,no
Cameroon,CMR,59.0,0.1044190917453165,0.05267540533562842,0.03536873035046484,middle,no
Canada,CAN,49.0,0.10839415946940534,0.04342753347475603,0.03610714152535621,high,yes
Central African Republic,CAF,59.0,0.08533140660019467,0.05422852612406226,0.012521498231111261,low,no
Chad,TCD,62.0,0.09671102711386093,0.04432045774951199,0.029894043409174342,low,no
Chile,CHL,62.0,0.37958279491400493,0.2884825798488011,0.0384462038407678,high,yes
China,CHN,46.0,0.1951442827244989,0.045687992333375504,0.09076372798285282,middle,no
Colombia,COL,33.0,0.16260733541058947,0.09925292308278033,0.03433964770219733,middle,no
Comoros,COM,41.0,0.09130334182162203,0.03316959013259724,0.024201455701400088,middle,no
"Congo, Dem. Rep.",COD,33.0,1.2476974331346717,1.2770450543412597,-0.002393987904952821,low,no
"Congo, Rep.",COG,62.0,0.0971941912282015,0.05845868230500262,0.03458080471416536,middle,no
Costa Rica,CRI,63.0,0.18532650093115755,0.11923445291770696,0.044092902266812395,middle,no
Cote d'Ivoire,CIV,61.0,0.11024728322180355,0.0548806531035535,0.04108174818482868,middle,no
Croatia,HRV,27.0,0.11002704335473013,0.028616400332284853,0.022516036517119975,high,no
Czechia,CZE,30.0,0.07675104541826738,0.035992531512566206,0.0249408995220326,high,yes
Denmark,DNK,57.0,0.07065172883098936,0.04309518857258743,0.021187012991483734,high,yes
Djibouti,DJI,10.0,0.08782936786491802,0.010197399283959019,0.051438012716851,middle,no
Dominica,DMA,46.0,0.07924806718475397,0.03751729931096848,0.020790958790296576,middle,no
Dominican Republic,DOM,63.0,0.17090622126168342,0.10275582090370072,0.05083987364397058,middle,no
Ecuador,ECU,63.0,0.10148640503668505,0.0335761104144916,0.03534145037592551,middle,no
"Egypt, Arab Rep.",EGY,63.0,0.16809519762212743,0.09238257966189356,0.05139322183164041,middle,no
El Salvador,SLV,58.0,0.08515660707687878,0.04381691961800227,0.02068338876045628,middle,no
Equatorial Guinea,GNQ,37.0,0.13215658801618768,0.04125736599664931,0.11836990385484492,middle,no
Eritrea,ERI,17.0,0.1807847028929368,0.12105865289397277,0.02028772798220846,low,no
Eswatini,SWZ,49.0,0.14014136953185607,0.08598820627190618,0.045138842331508,middle,no
Ethiopia,ETH,28.0,0.14056766330770976,0.06556192515084658,0.041153773328587606,low,no
Fiji,FJI,60.0,0.10264619626904747,0.05329241352400027,0.027072373824190477,middle,no
Gabon,GAB,60.0,0.10779154869116092,0.06008939507313582,0.03816352593202388,middle,no
"Gambia, The",GMB,49.0,0.16248956576872975,0.10571104289975097,0.03504499544889583,low,no
Georgia,GEO,28.0,0.2167366969343354,0.07518570524001977,0.0545558279468874,middle,no
Ghana,GHA,63.0,0.30087972505254235,0.24488641791505672,0.035850736721416476,middle,no
Grenada,GRD,46.0,0.08242610417251228,0.034495656865741964,0.02947172072419968,middle,no
Guatemala,GTM,63.0,0.13923761112034305,0.07070093757103102,0.038182927941988964,middle,no
Guinea,GIN,22.0,0.21893366563784,0.12474543202104393,0.04544675675372134,middle,no
Guinea-Bissau,GNB,37.0,0.256467858841245,0.19217101579261198,0.02500431528622915,low,no
Guyana,GUY,63.0,0.1659196670101497,0.12032774012041392,0.03639177904601909,high,no
Haiti,HTI,62.0,0.14497609213126528,0.10945551422631694,0.012982622088765439,middle,no
Honduras,HND,63.0,0.14939749306902628,0.07890614484808367,0.038542821861015764,middle,no
"Hong Kong SAR, China",HKG,32.0,0.07936879889846238,0.016238851489607464,0.029651461616344577,high,no
Hungary,HUN,32.0,0.1230076623533849,0.08548235304558682,0.022625045317639758,high,yes
Iceland,ISL,28.0,0.10510928322463853,0.04743395147773799,0.03227019315368507,high,yes
India,IND,62.0,0.14976027296796102,0.07102408984302144,0.0505510010145076,middle,no
Indonesia,IDN,54.0,0.21957867138750387,0.12268845770107739,0.05324277341247763,middle,no
"Iran, Islamic Rep.",IRN,31.0,0.2668533165151581,0.21403512849583017,0.033348548761036545,middle,no
Iraq,IRQ,18.0,0.1433030759144287,0.0646863501198014,0.040035401791461256,middle,no
Israel,ISR,28.0,0.0845252740244764,0.025284977960791544,0.03948980902278865,high,yes
Jamaica,JAM,57.0,0.1761439047196054,0.1406726065388828,0.013404578219797791,middle,no
Japan,JPN,63.0,0.08895396192968108,0.024632061100036795,0.033604512518210505,high,yes
Jordan,JOR,47.0,0.1061019763274682,0.04609168359830873,0.04526562201913187,middle,no
Kazakhstan,KAZ,30.0,0.333154603301709,0.2755202040539728,0.03904791726285639,middle,no
Kenya,KEN,57.0,0.15133651276928317,0.09219165862053869,0.044605214699100504,middle,no
"Korea, Rep.",KOR,63.0,0.20960649325092362,0.08136488251649432,0.07035649366522234,high,yes
Kosovo,XKX,15.0,0.09480462616591856,0.023795756311899563,0.04359650251240477,middle,no
Kuwait,KWT,29.0,0.06890434083732466,0.024193687135215525,0.03812939307037144,high,no
Kyrgyz Republic,KGZ,28.0,0.2067322035321595,0.11634622470335243,0.042550665314845526,middle,no
Lao PDR,LAO,22.0,0.3466638568380862,0.18696851769509415,0.06650733848148871,middle,no
Lebanon,LBN,30.0,0.17037100811262484,0.09951053031360102,0.046772585488050966,middle,no
Lesotho,LSO,41.0,0.12724374639095037,0.0894620618567099,0.03020608969861227,middle,no
Liberia,LBR,21.0,0.1262441589516632,0.046197512348138625,0.017312309542785842,low,no
Libya,LBY,23.0,0.1156340734464032,0.11345515345056922,0.0005565456236718003,middle,no
"Macao SAR, China",MAC,39.0,0.1257898111137541,0.04702117357206648,0.03131563574352292,high,no
Madagascar,MDG,61.0,0.14467583669464612,0.1110163963699522,0.01904592637929059,low,no
Malawi,MWI,43.0,0.2563157805364782,0.19911061741617386,0.03454343585621089,low,no
Malaysia,MYS,63.0,0.12246414606858935,0.034009340033613,0.060604843979290335,middle,no
Maldives,MDV,28.0,0.14404231751916674,0.061563213345683376,0.05296694506211019,middle,no
Mali,MLI,56.0,0.11444709364303285,0.056469246249311045,0.039555637497019625,low,no
Mauritania,MRT,30.0,0.1402351903262411,0.07477270458343455,0.03435769953388168,middle,no
Mauritius,MUS,47.0,0.13760292499699522,0.06717048687593774,0.04014183229127699,middle,no
Mexico,MEX,63.0,0.22742412103895537,0.17452160399825178,0.03500020981035079,middle,yes
"Micronesia, Fed. Sts.",FSM,27.0,0.044244848223003785,0.023068317801133276,0.00048580036670076154,middle,no
Moldova,MDA,28.0,0.18651986693784428,0.11892438405453065,0.026693635884693867,middle,no
Mongolia,MNG,32.0,0.29457627660684316,0.22760336356693212,0.04683899211595288,middle,no
Montenegro,MNE,21.0,0.16981567576102052,0.04625081110080864,0.028756115344099165,middle,no
Morocco,MAR,57.0,0.1138989226733802,0.038700856901660696,0.04357793597650694,middle,no
Mozambique,MOZ,32.0,0.23672909692658672,0.11957674754524605,0.061756806391629615,low,no
Myanmar,MMR,61.0,0.19604180727578324,0.11590861541889996,0.054732813095001775,middle,no
Namibia,NAM,32.0,0.15625046254572328,0.07465429924821598,0.03298395864014858,middle,no
Nepal,NPL,63.0,0.17887012044148398,0.0813374514627141,0.03781851824262872,middle,no
New Zealand,NZL,34.0,0.1243476612146488,0.0553632394862964,0.024124595272909888,high,yes
Nicaragua,NIC,62.0,0.6043142367955143,0.5346608174993506,0.025918043602970675,middle,no
Niger,NER,61.0,0.1038467437168451,0.04664640770440198,0.02636148415066919,low,no
Nigeria,NGA,63.0,0.21648956006759823,0.1566006137304352,0.03445186687623969,middle,no
North Macedonia,MKD,30.0,0.08766648288325096,0.06765926954347501,0.02261792012662256,middle,no
Norway,NOR,63.0,0.08524845029903316,0.052566585460534165,0.030201564400900827,high,yes
Oman,OMN,46.0,0.13967249800930026,0.07047989829755918,0.05319936284140958,high,no
Pakistan,PAK,63.0,0.14420796511246103,0.08702508153777821,0.05044084820752981,middle,no
Panama,PAN,49.0,0.12446029756442645,0.029995288415118893,0.05188391110077761,high,no
Papua New Guinea,PNG,47.0,0.10845775322528328,0.07007639953698708,0.030959781150295518,middle,no
Paraguay,PRY,63.0,0.19002591648372524,0.10725644558743652,0.044401648659158965,middle,no
Peru,PER,62.0,0.49327701632268717,0.4149154395242982,0.034463152081626536,middle,no
Philippines,PHL,63.0,0.15337811163790516,0.07904614872743676,0.04224658858047636,middle,no
Poland,POL,33.0,0.1571767902507386,0.08859364775006151,0.03737592722026006,high,yes
Qatar,QAT,23.0,0.15723340860428503,0.04478516993690662,0.07661764105686353,high,no
Romania,ROU,33.0,0.3386295895482443,0.3254773703015388,0.021806835753583442,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10734015928356144,0.02941199171234854,middle,no
Rwanda,RWA,57.0,0.14962092644242309,0.08868140440422745,0.046383980292497906,low,no
Samoa,WSM,41.0,0.09073418059278016,0.050821728840298785,0.018001457790277176,middle,no
Sao Tome and Principe,STP,20.0,0.17661159163520201,0.10753834298819243,0.04195771733734355,middle,no
Saudi Arabia,SAU,50.0,0.14118958900638212,0.05742797975343894,0.04638328389252644,high,no
Senegal,SEN,61.0,0.09607044342413729,0.03933247177772281,0.03146104180342868,middle,no
Serbia,SRB,26.0,0.25109423161849564,0.1328700810351393,0.029467739458790776,middle,no
Seychelles,SYC,52.0,0.13120390456483544,0.06669614976012261,0.038859918282348804,high,no
Sierra Leone,SLE,63.0,0.11676490224627178,0.19477367716854266,0.025320196387310645,low,no
Singapore,SGP,58.0,0.11449564753635144,0.02402937543227779,0.0687313273759711,high,no
Solomon Islands,SLB,43.0,0.12653807310120913,0.08679342878388785,0.023043341158823782,middle,no
South Africa,ZAF,58.0,0.12867710882433947,0.09487194076812466,0.02484823049733942,middle,no
Sri Lanka,LKA,59.0,0.1612589340412851,0.09090643435020507,0.047658664008570994,middle,no
St. Kitts and Nevis,KNA,44.0,0.08732233131377654,0.030551431459397982,0.035593509699163306,high,no
St. Lucia,LCA,43.0,0.0767368583362329,0.03252503743461732,0.030876778883606182,middle,no
St. Vincent and the Grenadines,VCT,48.0,0.08131630422341085,0.04314994062424593,0.03428486080420745,middle,no
Sudan,SDN,61.0,0.3345170501013881,0.2737339979090694,0.027658756874998636,low,no
Suriname,SUR,56.0,0.2783615118070977,0.22986109174089786,0.015388345057454345,middle,no
Sweden,SWE,63.0,0.07915533761743054,0.04507988606631286,0.025451690505233993,high,yes
Switzerland,CHE,37.0,0.05531204332648576,0.01582234142198158,0.017624748910683552,high,yes
Syrian Arab Republic,SYR,52.0,0.16127274406519088,0.08763107656418856,0.0539806248843564,low,no
Tajikistan,TJK,25.0,0.2781959365215294,0.13317300472596139,0.07455844419564639,middle,no
Tanzania,TZA,35.0,0.19581885832106116,0.12983333674955322,0.050997231876926064,middle,no
Thailand,THA,63.0,0.12882163266089797,0.038650506044614064,0.055394179666762966,middle,no
Timor-Leste,TLS,21.0,0.18090566548957332,0.05384926191629846,0.044555477683319245,middle,no
Togo,TGO,61.0,0.11559628083253859,0.04923582863013776,0.0372622865452108,low,no
Tonga,TON,33.0,0.0983741609769182,0.04798571833802212,0.01822354131309023,middle,no
Trinidad and Tobago,TTO,63.0,0.10915947645199964,0.05996148609085217,0.029257636986982805,high,no
Tunisia,TUN,58.0,0.1215777785454295,0.060129123965356746,0.04105327675855919,middle,no
Turkiye,TUR,63.0,0.3927562878429245,0.30193986379221815,0.047075957316020656,middle,yes
Uganda,UGA,41.0,0.33150631416919807,0.2320521355859011,0.056049393758921484,low,no
Ukraine,UKR,31.0,0.467405611005117,0.49964495554708055,-0.020226331196015912,middle,no
United Arab Emirates,ARE,48.0,0.11850022550130479,0.03126882614772164,0.04383925351828122,high,no
United Kingdom,GBR,63.0,0.10120343182314984,0.05211695350280321,0.023045491511948013,high,yes
United States,USA,62.0,0.0752393078496909,0.03295410958655309,0.029633966327883954,high,yes
Uruguay,URY,63.0,0.37560024595478536,0.33280964448020933,0.021390947027044582,high,no
Uzbekistan,UZB,10.0,0.22975027055128727,0.1500838615007376,0.056936533466303674,middle,no
Vanuatu,VUT,44.0,0.06991989405600907,0.04204454198683383,0.02179787465940919,middle,no
Viet Nam,VNM,28.0,0.22874648996901215,0.07873625361067593,0.06423281118133373,middle,no
West Bank and Gaza,PSE,25.0,0.08361794484613072,0.03267701708727455,0.03284027916890753,middle,no
"Yemen, Rep.",YEM,24.0,0.17800114042463777,0.1477017125925646,0.04008208467572438,low,no
Zambia,ZMB,30.0,0.24974982898489184,0.16844928751484245,0.04564348212918867,middle,no
Zimbabwe,ZWE,27.0,0.053944277290166154,-0.009568406662110895,0.013777445798113241,middle,no
