,deflator inflation - 3mo forecast,deflator inflation - 3mo actual,nominal interest - 3mo
1970-01-01,3.0303030303030276,5.537403189184898,7.21
1970-04-01,2.985074626865636,3.265037657119822,6.676666666666667
1970-07-01,2.962962962962923,5.245179581982468,6.326666666666667
1970-10-01,3.650967506389158,6.062019357011399,5.353333333333334
1971-01-01,3.4582132564841217,5.234129809943418,3.84
1971-04-01,3.9857651245552184,4.038921118197047,4.25
1971-07-01,3.623693379790982,3.3074440135146577,5.010000000000001
1971-10-01,3.3496161898115773,6.144915748251904,4.2299999999999995
1972-01-01,3.3310201249133087,2.441447382221993,3.436666666666667
1972-04-01,3.283173734610134,3.7382699938801145,3.77
1972-07-01,3.408316291751845,5.046284248453303,4.22
1972-10-01,4.073319755600835,4.62505397769488,4.863333333333333
1973-01-01,3.4922766957689255,6.048884437871977,5.7
1973-04-01,4.235605559232258,7.55901660441183,6.603333333333334
1973-07-01,4.86867392696988,7.877030738572553,8.323333333333332
1973-10-01,5.841269841269892,7.536486637169518,7.5
1974-01-01,6.459627329192497,9.39871319661824,7.616666666666667
1974-04-01,6.517803258901633,11.432340577956552,8.153333333333334
1974-07-01,7.859237536656849,11.609562155416475,8.19
1974-10-01,8.7301587301587,8.962109081363293,7.359999999999999
1975-01-01,8.149779735682827,5.9423733156638825,5.75
1975-04-01,5.863192182410426,7.059269556257246,5.3933333333333335
1975-07-01,5.99892876272099,6.613380242320827,6.330000000000001
1975-10-01,5.812417437252293,4.1354915505556376,5.626666666666668
1976-01-01,6.106870229007644,4.04439991891568,4.916666666666667
1976-04-01,5.748865355521993,5.125090936831208,5.156666666666667
1976-07-01,5.794947994056532,7.028715625046503,5.15
1976-10-01,5.728975394785163,6.383800822714317,4.673333333333333
1977-01-01,5.354558610709148,5.572344451737244,4.63
1977-04-01,5.982905982905962,4.895156013971414,4.84
1977-07-01,6.460674157303359,8.594277816493154,5.496666666666666
1977-10-01,5.817174515235468,5.916729784770124,6.109999999999999
1978-01-01,6.143344709897569,7.25075736338067,6.3933333333333335
1978-04-01,6.298157453936337,6.636018362486168,6.476666666666667
1978-07-01,6.775244299674288,8.321654963431097,7.313333333333333
1978-10-01,6.773162939297173,7.086183807469926,8.57
1979-01-01,7.5140889167188085,9.561568046886345,9.383333333333335
1979-04-01,8.20324456688093,8.455064456053949,9.376666666666667
1979-07-01,8.353221957040535,7.899139452696493,9.673333333333332
1979-10-01,7.953216374269001,8.23177144529154,11.843333333333334
1980-01-01,8.695652173912993,8.68726375481637,13.353333333333333
1980-04-01,9.401231113598207,9.101151010052309,9.616666666666667
1980-07-01,9.317621266100318,10.90168076585894,9.153333333333334
1980-10-01,9.826435246996024,9.867298566197677,13.613333333333335
1981-01-01,9.247940473026794,7.431178176750112,14.39
1981-04-01,8.235600729736792,7.132224368504734,14.906666666666666
1981-07-01,8.213552361396292,7.4246380625091115,15.053333333333333
1981-10-01,7.418546365914747,5.560513346776124,11.75
1982-01-01,6.206896551724128,4.78915787719094,12.813333333333333
1982-04-01,5.772994129158526,5.720093207684849,12.42
1982-07-01,5.9216809933142045,4.414260719972736,9.316666666666668
1982-10-01,5.4950260540028495,3.2185390462747363,7.906666666666667
1983-01-01,4.508100493073464,2.697519924531864,8.106666666666667
1983-04-01,4.267161410018616,4.1685720168784615,8.396666666666667
1983-07-01,4.604051565377532,2.93220616650168,9.14
1983-10-01,5.669867398262518,4.234319227012697,8.799999999999999
1984-01-01,4.615384615384599,3.351132246372926,9.17
1984-04-01,5.381165919282527,3.229952122481741,9.796666666666667
1984-07-01,4.010695187165769,2.676600554809768,10.32
1984-10-01,4.2365401588702944,4.574396280318114,8.803333333333335
1985-01-01,3.422553751645463,2.467516326703924,8.183333333333334
1985-04-01,4.0692640692640225,2.313054025418565,7.46
1985-07-01,3.6113499570077146,2.306683249165248,7.1066666666666665
1985-10-01,3.9316239316239177,1.9488972363756674,7.166666666666667
1986-01-01,2.456140350877245,1.5962591708304017,6.896666666666666
1986-04-01,2.8021015761821033,1.6104322800951734,6.140000000000001
1986-07-01,1.7436791630339954,2.2233646331747443,5.523333333333333
1986-10-01,2.938634399308526,2.893628198435649,5.353333333333333
1987-01-01,3.273040482342804,2.6716789683583664,5.536666666666666
1987-04-01,3.7478705281089653,2.8937448166304596,5.656666666666666
1987-07-01,4.057480980557937,3.29585657365057,6.043333333333334
1987-10-01,3.367003367003374,3.131337428753421,5.863333333333333
1988-01-01,3.343083994985374,3.8475630053752217,5.723333333333333
1988-04-01,3.6529680365296358,4.684226703607673,6.21
1988-07-01,3.9376538146020934,3.1944458938173854,7.010000000000001
1988-10-01,4.5307443365696365,4.373149904152966,7.726666666666667
1989-01-01,3.8369304556354678,4.114096553824555,8.54
1989-04-01,4.41988950276242,2.886440880474394,8.409999999999998
1989-07-01,4.39905734485464,2.7736370128667134,7.843333333333334
1989-10-01,4.0625000000000355,4.392124334181551,7.653333333333333
1990-01-01,3.712296983758634,4.103963894358317,7.760000000000001
1990-04-01,3.6641221374045685,3.5560046820066895,7.746666666666667
1990-07-01,4.535147392290284,3.0162831443258304,7.476666666666667
1990-10-01,4.638982416760129,3.967130326978813,6.989999999999999
1991-01-01,3.866171003717511,2.7316609884966385,6.023333333333333
1991-04-01,3.52941176470587,2.9268493948671455,5.56
1991-07-01,3.206997084548213,2.153886798448423,5.376666666666666
1991-10-01,3.1930333817125955,1.7136538012857263,4.54
1992-01-01,2.9643103767706513,2.5425867695060025,3.893333333333333
1992-04-01,2.7372765936113375,1.8992176618460421,3.6799999999999997
1992-07-01,2.7256902909658542,2.6944100075962143,3.0833333333333335
1992-10-01,2.6229508196720985,2.2688024300920837,3.0700000000000003
1993-01-01,2.4774976946867255,2.4226128200740806,2.9599999999999995
1993-04-01,2.5185700083251383,2.402509367673082,2.966666666666667
1993-07-01,2.8915662650602414,2.0808149973974754,3.003333333333334
1993-10-01,2.553870710295314,1.9334690080157306,3.06
1994-01-01,2.6557468294040376,1.9894166109941775,3.2433333333333336
1994-04-01,2.718507981665841,2.1580640661877863,3.986666666666667
1994-07-01,3.075709779179814,2.1948890557399596,4.476666666666667
1994-10-01,3.1421838177533523,2.2898727897936464,5.28
1995-01-01,2.5019546520718805,1.7554301692531447,5.736666666666667
1995-04-01,2.801556420233453,1.896153489986514,5.596666666666667
1995-07-01,2.4752898061230155,1.9663072301697664,5.366666666666667
1995-10-01,2.3186832360752696,2.1612720443621107,5.260000000000001
1996-01-01,2.242343468762442,1.517988657202712,4.93
1996-04-01,2.3657870791628177,1.1269082711164455,5.02
1996-07-01,2.1758839528558838,2.026689017339377,5.096666666666667
1996-10-01,2.529358626919631,2.4752202486159023,4.976666666666667
1997-01-01,2.515723270440251,1.0803587182824608,5.06
1997-04-01,2.338241856314127,1.4257156485610534,5.046666666666667
1997-07-01,2.3880702937185028,1.3288199788595971,5.046666666666667
1997-10-01,2.2508833922261218,0.6525702769082697,5.09
1998-01-01,2.0341190030001677,0.8345528121155528,5.053333333333334
1998-04-01,1.9234657547492873,1.4917438706596085,4.976666666666667
1998-07-01,1.7306891756640574,1.2489817933580851,4.823333333333333
1998-10-01,1.6290256324179353,1.994313299497892,4.253333333333334
1999-01-01,1.311845399724909,1.3390602732055912,4.406666666666667
1999-04-01,1.5146855973079631,1.444360635033821,4.453333333333333
1999-07-01,1.6323962493336452,1.8267031068763615,4.6499999999999995
1999-10-01,1.7671755725190863,3.0474453258380496,5.043333333333333
2000-01-01,1.696394686906988,2.2606426812687013,5.5200000000000005
2000-04-01,2.043192488262857,2.5840419586701158,5.713333333333334
2000-07-01,2.2346368715083997,2.141496510840642,6.016666666666667
2000-10-01,2.224281742353984,2.50566583805396,6.016666666666667
2001-01-01,1.881918819188133,2.815173689810276,4.816666666666667
2001-04-01,1.831501831501825,1.3073154439572936,3.66
2001-07-01,1.9587746270356199,1.2080865306829638,3.17
2001-10-01,1.8148820326678639,1.2801983379785382,1.906666666666667
2002-01-01,1.470121148872483,1.4884045784003552,1.7233333333333334
2002-04-01,1.6927672671313232,1.7788055337779323,1.7166666666666668
2002-07-01,1.8034265103697322,2.158737628182675,1.6433333333333333
2002-10-01,1.9486239191788712,2.458251349933688,1.3333333333333333
2003-01-01,1.738943752683575,1.2790075426851113,1.1566666666666665
2003-04-01,1.6866826794768919,2.2100650839550413,1.04
2003-07-01,1.4889704249251068,1.891213070907146,0.93
2003-10-01,1.7683465959327904,3.4744367912013088,0.9166666666666666
2004-01-01,1.3930479024491405,3.467021360597515,0.9166666666666666
2004-04-01,1.6726437166552977,2.454339517319771,1.0766666666666667
2004-07-01,2.2301138977312007,2.794891880760574,1.4866666666666666
2004-10-01,2.179916509931612,3.6875993491116206,2.0066666666666664
2005-01-01,1.9082019848219112,2.894336902218866,2.5366666666666666
2005-04-01,2.066847335140043,3.7229395325280636,2.8633333333333333
2005-07-01,2.1640700203215957,3.0232112819076176,3.36
2005-10-01,2.5394919250160797,3.132705974473015,3.8266666666666667
2006-01-01,2.1226993865030686,3.2056386706882294,4.3933333333333335
2006-04-01,2.3593135595427306,2.781388620752982,4.703333333333333
2006-07-01,2.371731158104051,1.3960302808821585,4.906666666666666
2006-10-01,2.455866084051994,4.469599237548518,4.903333333333333
2007-01-01,2.1416659650805414,2.2285559688689838,4.983333333333334
2007-04-01,2.2654658698762375,1.3845180082848434,4.736666666666667
2007-07-01,2.0859874864050276,1.73924882818049,4.303333333333334
2007-10-01,2.435880398671042,2.2802293110638994,3.39
2008-01-01,2.2231546736287022,1.9401489095131539,2.0433333333333334
2008-04-01,2.3523226360689264,2.730193618203607,1.6266666666666667
2008-07-01,2.378847230450365,0.569457908178453,1.4933333333333332
2008-10-01,2.006240669843695,0.9886084971520102,0.2966666666666667
2009-01-01,1.0767234387672353,-0.6681438062339535,0.21333333333333335
2009-04-01,1.11560277020466,-0.08810219890647265,0.17333333333333334
2009-07-01,1.1800341846825546,1.1837522761380312,0.15666666666666665
2009-10-01,1.46106193726796,1.4071397881877534,0.05666666666666667
2010-01-01,1.2024651078484716,1.770810376347683,0.10666666666666665
2010-04-01,1.3926270767682603,1.8221645467616916,0.14666666666666667
2010-07-01,1.1382727054548347,2.0454567677420012,0.15666666666666665
2010-10-01,1.282511210762305,1.7617034760538304,0.1366666666666667
2011-01-01,1.0753651760910365,2.9035273248991778,0.12666666666666668
2011-04-01,1.9326563335114955,2.408749117360268,0.04666666666666667
2011-07-01,1.6264801391911554,0.573946218798385,0.02333333333333333
2011-10-01,1.918748037027651,2.1076624108593975,0.013333333333333334
2012-01-01,1.613636363636406,1.8222744007455234,0.06666666666666667
2012-04-01,2.03022909206636,2.1477735242899207,0.08666666666666667
2012-07-01,1.898960418706075,1.615567620459562,0.10333333333333333
2012-10-01,1.7618207429039856,1.6128294373187482,0.08666666666666667
2013-01-01,1.8661707611497214,0.9765904957163066,0.08666666666666667
2013-04-01,1.7117250428316133,1.8900531537694003,0.05000000000000001
2013-07-01,1.787346971309578,1.7176123301022388,0.03333333333333333
2013-10-01,1.6893125032090062,1.558457986801236,0.06333333333333334
2014-01-01,1.5894577012965705,2.204839042778835,0.04666666666666667
2014-04-01,1.7382727768239903,1.609926363495726,0.03333333333333333
2014-07-01,1.872644360402198,0.08436071572821956,0.02666666666666667
2014-10-01,1.7024023828497548,0.11734184145829028,0.023333333333333334
2015-01-01,1.6071860183639153,2.102640907338232,0.02666666666666667
2015-04-01,1.7643564792068744,1.2926552990284066,0.02
2015-07-01,1.594735303357453,0.9332096918356233,0.04
2015-10-01,1.7068361305072166,,0.12333333333333334
2016-01-01,1.5781247738817505,,0.2866666666666667
