Year,Nominal Index,Real Index
1970.125,19.5876706,107.8510055
1970.375,19.93390297,107.761795
1970.625,20.31986693,108.4399875
1970.875,20.73988652,109.5578145
1971.125,20.87610909,109.1690904
1971.375,21.10314671,109.5307476
1971.625,21.39829562,109.425359
1971.875,21.65371294,110.1900229
1972.125,21.84101898,110.6023311
1972.375,21.97156561,110.1909973
1972.625,22.35752956,111.056248
1972.875,22.37455738,110.089853
1973.125,22.34617768,109.1759186
1973.375,22.40861302,106.9699256
1973.625,22.60727094,106.2129862
1973.875,23.0216146,105.0761478
1974.125,23.555153,105.2042341
1974.375,23.99787636,104.0554377
1974.625,24.47465536,103.1152365
1974.875,25.1671201,102.5051836
1975.125,26.32501196,105.1632647
1975.375,26.957615,106.0618018
1975.625,26.84418273,103.0823014
1975.875,27.28918624,103.454991
1976.125,27.66874807,103.5733262
1976.375,28.64601069,106.2758274
1976.625,28.93395414,105.4641573
1976.875,29.3702321,105.5752263
1977.125,30.32568083,107.8916662
1977.375,31.71740751,110.022026
1977.625,32.42854058,110.6447407
1977.875,33.54104937,113.3258904
1978.125,34.61429315,115.2679731
1978.375,36.02783373,117.3465965
1978.625,37.05744971,117.3933145
1978.875,38.1699585,118.3947307
1979.125,39.97178647,121.8052651
1979.375,41.17591363,121.3868802
1979.625,42.07464622,119.7943409
1979.875,42.92975102,118.8156738
1980.125,43.62779575,116.712368
1980.375,44.30402659,113.8390824
1980.625,45.66957659,114.9356303
1980.875,45.78300886,112.3677501
1981.125,46.06658953,110.2046742
1981.375,47.17037277,110.1855923
1981.625,47.81170136,108.6355408
1981.875,47.96003587,106.8724657
1982.125,48.47048108,106.9790763
1982.375,48.69734562,106.8002534
1982.625,48.39631383,103.3096463
1982.875,48.74533619,103.3129562
1983.125,49.63970601,105.6388226
1983.375,50.23740681,106.0433661
1983.625,50.55152694,105.3178528
1983.875,50.73912646,104.5574104
1984.125,51.48952455,105.166617
1984.375,52.32717822,105.6335455
1984.625,52.84198621,105.6480803
1984.875,53.34370587,105.4357808
1985.125,54.08537839,106.6990663
1985.375,54.94484597,106.9750409
1985.625,55.8784808,107.8844956
1985.875,56.55034885,108.2776822
1986.125,57.65413209,109.4846138
1986.375,58.84517091,112.7753567
1986.625,59.81807076,113.6976502
1986.875,60.75606836,114.6429508
1987.125,62.03,116.0994601
1987.375,64.09,118.3585298
1987.625,65.32,119.4640188
1987.875,66.18,119.4622422
1988.125,66.67,119.9306817
1988.375,69.27,123.1179849
1988.625,70.5,123.8237558
1988.875,71.22,123.3192026
1989.125,72.43,124.4822841
1989.375,74.4,125.7905711
1989.625,75.22,125.8479528
1989.875,75.37,124.8941458
1990.125,75.58,123.4726206
1990.375,76.42,123.3920906
1990.625,75.84,121.0469746
1990.875,74.59,116.2873698
1991.125,73.43,113.5433424
1991.375,74.75,115.0714834
1991.625,75.16,114.8531392
1991.875,74.65,113.0775228
1992.125,74.3,111.9768745
1992.375,75.48,112.6136125
1992.625,75.4,111.6935843
1992.875,74.74,109.7008693
1993.125,74.46,108.6767676
1993.375,75.48,109.0944371
1993.625,76.06,109.6282128
1993.875,75.91,108.4357895
1994.125,76.46,108.8479182
1994.375,78.06,110.2209804
1994.625,78.23,109.7166745
1994.875,77.89,108.4360571
1995.125,77.74,107.6511719
1995.375,79.28,108.6273222
1995.625,79.87,109.0051576
1995.875,79.51,107.6666232
1996.125,79.61,107.3132961
1996.375,81.11,108.0061859
1996.625,81.72,108.3332848
1996.875,81.18,106.7336444
1997.125,81.82,107.0341838
1997.375,83.55,108.546831
1997.625,84.37,109.4072794
1997.875,84.8,109.216361
1998.125,85.71,110.3883762
1998.375,88.3,113.0942551
1998.625,90.1,114.9047131
1998.875,90.81,115.2452499
1999.125,92.08,116.6436104
1999.375,94.75,118.6537328
1999.625,97.03,121.1444822
1999.875,98.29,121.6232347
2000.125,100,123.2993434
2000.375,103.77,126.0804238
2000.625,106.33,128.0693726
2000.875,107.9,129.0640838
2001.125,109.27,129.8817116
2001.375,112.69,132.5838885
2001.625,115.5,135.4306095
2001.875,116.23,136.1331884
2002.125,118,138.674514
2002.375,122.24,141.5001369
2002.625,126.13,145.7598421
2002.875,128.58,147.6076356
2003.125,130.48,149.4590533
2003.375,134.2,151.9638245
2003.625,138.41,156.6458688
2003.875,142.29,160.0795509
2004.125,146.26,164.3681977
2004.375,152.92,169.2932515
2004.625,158.53,174.2066347
2004.875,163.06,177.7766491
2005.125,169.19,184.6533553
2005.375,176.7,188.9848193
2005.625,183.08,195.0067079
2005.875,186.97,195.3510726
2006.125,188.66,198.0114583
2006.375,189.93,196.1786421
2006.625,188.11,192.3891944
2006.875,186.44,192.2875379
2007.125,184.83,190.0469182
2007.375,183.17,184.4490791
2007.625,180.01,179.8633397
2007.875,170.75,170.090729
2008.125,159.36,157.1322907
2008.375,155.93,151.0713492
2008.625,150.48,142.3837347
2008.875,139.41,133.9747086
2009.125,129.17,127.3263173
2009.375,133.19,129.9978445
2009.625,137.51,132.898658
2009.875,135.99,130.9274455
2010.125,132.08,126.8637106
2010.375,138.28,132.0134419
2010.625,135.61,129.463253
2010.875,130.89,124.5572605
2011.125,125.71,118.8065427
2011.375,130.8,121.043064
2011.625,131,120.6455857
2011.875,126.02,115.8393141
2012.125,124.21,114.0526298
2012.375,133.07,120.3718836
2012.625,135.74,123.3128625
2012.875,135.12,121.5752837
2013.125,136.54,123.4061729
2013.375,146.32,130.9652389
2013.625,150.88,134.4310157
2013.875,150.39,134.0231226